timestamp,job_title,company,location,experience,url,score,decision,status,reason
2026-04-25T11:24:03,Flutter Developer,Alliances Galore,"New Delhi, Hyderabad",3-5 Yrs,https://www.naukri.com/job-listings-flutter-developer-alliances-galore-private-limited-new-delhi-hyderabad-3-to-5-years-240426501450,0,needs_manual_review,needs_manual_review,"AI matching failed safely: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
2026-04-25T11:24:13,Flutter Developer,Botree Software,Pune,2-5 Yrs,https://www.naukri.com/job-listings-flutter-developer-pkasti-technologies-pune-2-to-5-years-200426501781,0,needs_manual_review,needs_manual_review,"AI matching failed safely: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
2026-04-25T11:24:21,Flutter Developer,Vconstruct,Noida,1-6 Yrs,https://www.naukri.com/job-listings-flutter-developer-vega6-webware-technologies-noida-1-to-6-years-251025012913,30,skip,skipped,Job location is outside configured allowed_locations.
2026-04-25T11:24:29,Flutter Developer,Vconstruct,Noida,3-8 Yrs,https://www.naukri.com/job-listings-flutter-developer-appventure-noida-3-to-8-years-250225500880,30,skip,skipped,Job location is outside configured allowed_locations.
2026-04-25T11:24:40,Senior Flutter Developer,Thinkhumble Creative Solutions,Pune,3-8 Yrs,https://www.naukri.com/job-listings-senior-flutter-developer-thinkhumble-creative-solutions-pvt-ltd-pune-3-to-8-years-240426924061,0,needs_manual_review,needs_manual_review,"AI matching failed safely: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
2026-04-25T11:24:48,Flutter Developer,DynPro,"Noida, Greater Noida",4-7 Yrs,https://www.naukri.com/job-listings-flutter-developer-dynpro-noida-greater-noida-4-to-7-years-240426012651,30,skip,skipped,Job location is outside configured allowed_locations.
2026-04-25T11:24:58,Senior Flutter Developer,Thinkhumble Creative Solutions,Pune,3-5 Yrs,https://www.naukri.com/job-listings-senior-flutter-developer-thinkhumble-creative-solutions-pvt-ltd-pune-3-to-5-years-240426924064,0,needs_manual_review,needs_manual_review,"AI matching failed safely: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
2026-04-25T11:25:06,Senior Flutter Developer,Selectastro,Gurugram,4-8 Yrs,https://www.naukri.com/job-listings-senior-flutter-developer-selectastro-gurugram-4-to-8-years-130426028564,30,skip,skipped,Job location is outside configured allowed_locations.
2026-04-25T11:25:17,Senior Flutter Developer,Codiant,Pune( Viman Nagar ),5-10 Yrs,https://www.naukri.com/job-listings-senior-flutter-developer-caizin-pune-5-to-10-years-100426006915,0,needs_manual_review,needs_manual_review,"AI matching failed safely: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
2026-04-25T11:25:25,Flutter Developer,Posted by Planedway Services,Gurugram,5-10 Yrs,https://www.naukri.com/job-listings-flutter-developer-rarr-technologies-noida-5-to-10-years-160426504775,30,skip,skipped,Job location is outside configured allowed_locations.
